username,content
 大哈巴犬,配置集中处理贴（本吧禁单独发配置贴提问）
 闷声发大酋??,【进吧必读】刺客教条吧吧规及精品导航帖v1.17.12.18版
 地球最后的使徒,大家都说艾吉奥三部曲，这是买哪个，整晕了，找了半天没找到
 ASUKAlord,奥德赛肝完了，除了一些无关紧要的地点和支线以外剧情包括DLC
 〃苦笑释怀,刺客信条3的一点疑问
 CN正义之剑,参见最高大师
 ?啊杨很OK?,各位大佬们，最近很迷刺客信条，推几个比较好玩的呗
 春雨洗礼de太阳,第一次玩刺客信条，是刺客信条2，一直让我移动空手，过不去了怎
 Cass??,这只有国外有吗？
 选vvvvvvv,为啥大家都猜下一部是波斯还是中国，就没有人想到下一部有可能是
 是什么对,感觉亚诺的胸也不小啊
 菜鸟233??,萌新打算入坑刺客信条系列有哪些推荐的吗？已入刺客信条大革命
 刺客派蒙??,问一下刺客信条3重制版值得入手吗？我看steam评价是多半差
 雨中的小彩旗,亚特兰蒂斯第二章，有个克洛诺斯的藏宝库，地点任务是找三个箱子
 机智的一族,《起源》这个支线任务怎么救他？没办法进去啊
 gangyi93,下一作背景是维京
 乌鸡白凤丸??,羡慕那些才刚买奥德赛的，我都好久没游戏玩了……
 MDR厨♀,大降价，买了些新的，来电脑店下游戏，班里网太慢，我赚了，育碧
 育碧白俄罗斯,玩惯了奥德赛觉得起源操作真的难受，还有我觉得起源画质比奥德赛
 xuanling93,快快，准备爬刺客2的第三座刺客墓了，爬完3/4/5/6准备去
 叶下随风♂,有没有老哥知道这两个是什么的 一个主体一个DLC？还是什么
 爱之冥想,刺客信条玩了好几代了
 s细雪之舞,八爷好呆萌呀！一开始就猜出是那人圣甲虫了八爷居然还和他喝酒。
 CN正义之剑,刺客信条如果出中国题材
 N-Y-H-C,刚才上网冲浪看到的美人儿们
 浅兮?,各位大佬，萌新想把刺客信条全系列（一和起源先不买）买下来，请
 Bilu咻咻,刺客信条黑旗还能不能玩了
 网瘾莹,请问没玩过这系列的挑哪几个玩比较好啊
 xuanling93,我玩三部曲敲键盘翘的手酸死了，终于打了1/6
 南非酋长??,启示录dlc问题
 拯救吃土少女?,前些天艾吉奥合集打折没买，现在又恢复原价了，好气
 呆萌的小白2333,为什么枭雄没有中文吗
 ?阿尔忒弥斯,刚买起源黄金版，一进游戏的时候提示说通过血液驱动就可以玩法老
 周泽楷扫大街,萌新不懂就来问
 fkme?,断断续续几个月把AC3通关，我一直不觉得康纳真的是所谓的“挥
 风迎庭前月??,自从换上这套衣服，我——亚诺·多里安一样是狂战士！
 阿库亚女神℃,有没有老哥知道这是哪一部
 希牛寺革力6,刺客下一部是北欧？
 s1910sgq,新手入坑推荐哪一部？不接受画质太差的
 ?ZYyboT,今天入了黑旗，大佬们有什么建议吗
 风中灵羽,今天更新了下  然后标题处有个发现之旅
 阿库亚女神℃,今天终于把大革命安排上了，求助老哥们，有什么需要注意的吗
 ◆瑾轩◆,刺客大佬们，最近想去英国看看，无奈太穷只能去枭雄里再看看风景
 夜桅凉??,最近一直纠结买不买大革命看到很多吧友说之前白嫖的就想着也去白
 One??JX,一代结束后是不是就不能进古代继续玩阿泰尔了?
 alkaido,bug信条？
 alkaido,为什么会这样
 alkaido,怎么叛变steam里面有写繁中，游戏没
 JEFF-FF,刺客信条奥德赛主线打完了该做什么啊
 阿泽????,黑旗  主线任务进船长室 和舰队地图一互动就卡在这个界面了
